Type                                  Module                      Label             Process   
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "slimmedHcalRecHits"        "reducedHcalRecHits"   "PAT"     
edm::SortedCollection<HFRecHit,edm::StrictWeakOrdering<HFRecHit> >    "slimmedHcalRecHits"        "reducedHcalRecHits"   "PAT"     
edm::SortedCollection<HORecHit,edm::StrictWeakOrdering<HORecHit> >    "slimmedHcalRecHits"        "reducedHcalRecHits"   "PAT"     
edm::TriggerResults                   "TriggerResults"            ""                "PAT"     
edm::ValueMap<float>                  "offlineSlimmedPrimaryVertices"   ""                "PAT"     
edm::ValueMap<float>                  "offlineSlimmedPrimaryVerticesWithBS"   ""                "PAT"     
edmNew::DetSetVector<SiPixelCluster>    "slimmedDisplacedMuonTrackExtras"   ""                "PAT"     
edmNew::DetSetVector<SiPixelCluster>    "slimmedMuonTrackExtras"    ""                "PAT"     
edmNew::DetSetVector<SiStripCluster>    "slimmedDisplacedMuonTrackExtras"   ""                "PAT"     
edmNew::DetSetVector<SiStripCluster>    "slimmedMuonTrackExtras"    ""                "PAT"     
pat::PackedTriggerPrescales           "patTrigger"                ""                "PAT"     
pat::PackedTriggerPrescales           "patTrigger"                "l1max"           "PAT"     
pat::PackedTriggerPrescales           "patTrigger"                "l1min"           "PAT"     
vector<CTPPSLocalTrackLite>           "ctppsLocalTrackLiteProducer"   ""                "PAT"     
vector<pat::CompositeCandidate>       "oniaPhotonCandidates"      "conversions"     "PAT"     
vector<pat::Electron>                 "slimmedElectrons"          ""                "PAT"     
vector<pat::Electron>                 "slimmedLowPtElectrons"     ""                "PAT"     
vector<pat::IsolatedTrack>            "isolatedTracks"            ""                "PAT"     
vector<pat::Jet>                      "slimmedJets"               ""                "PAT"     
vector<pat::Jet>                      "slimmedJetsAK8"            ""                "PAT"     
vector<pat::Jet>                      "slimmedJetsPuppi"          ""                "PAT"     
vector<pat::Jet>                      "slimmedJetsAK8PFPuppiSoftDropPacked"   "SubJets"         "PAT"     
vector<pat::MET>                      "slimmedMETs"               ""                "PAT"     
vector<pat::MET>                      "slimmedMETsNoHF"           ""                "PAT"     
vector<pat::MET>                      "slimmedMETsPuppi"          ""                "PAT"     
vector<pat::Muon>                     "slimmedDisplacedMuons"     ""                "PAT"     
vector<pat::Muon>                     "slimmedMuons"              ""                "PAT"     
vector<pat::PackedCandidate>          "lostTracks"                ""                "PAT"     
vector<pat::PackedCandidate>          "packedPFCandidates"        ""                "PAT"     
vector<pat::PackedCandidate>          "lostTracks"                "eleTracks"       "PAT"     
vector<pat::Photon>                   "slimmedOOTPhotons"         ""                "PAT"     
vector<pat::Photon>                   "slimmedPhotons"            ""                "PAT"     
vector<pat::Tau>                      "slimmedTaus"               ""                "PAT"     
vector<pat::Tau>                      "slimmedTausBoosted"        ""                "PAT"     
vector<pat::TriggerObjectStandAlone>    "slimmedPatTrigger"         ""                "PAT"     
vector<reco::CaloCluster>             "reducedEgamma"             "reducedEBEEClusters"   "PAT"     
vector<reco::CaloCluster>             "reducedEgamma"             "reducedESClusters"   "PAT"     
vector<reco::CaloCluster>             "reducedEgamma"             "reducedOOTEBEEClusters"   "PAT"     
vector<reco::CaloCluster>             "reducedEgamma"             "reducedOOTESClusters"   "PAT"     
vector<reco::CaloJet>                 "slimmedCaloJets"           ""                "PAT"     
vector<reco::CaloJet>                 "slimmedJPTJets"            ""                "PAT"     
vector<reco::Conversion>              "reducedEgamma"             "reducedConversions"   "PAT"     
vector<reco::Conversion>              "reducedEgamma"             "reducedSingleLegConversions"   "PAT"     
vector<reco::DeDxHitInfo>             "isolatedTracks"            ""                "PAT"     
vector<reco::ForwardProton>           "ctppsProtons"              "multiRP"         "PAT"     
vector<reco::ForwardProton>           "ctppsProtons"              "singleRP"        "PAT"     
vector<reco::GsfElectronCore>         "reducedEgamma"             "reducedGedGsfElectronCores"   "PAT"     
vector<reco::GsfTrack>                "reducedEgamma"             "reducedGsfTracks"   "PAT"     
vector<reco::JPTJet>                  "slimmedJPTJets"            ""                "PAT"     
vector<reco::PhotonCore>              "reducedEgamma"             "reducedGedPhotonCores"   "PAT"     
vector<reco::PhotonCore>              "reducedEgamma"             "reducedOOTPhotonCores"   "PAT"     
vector<reco::SuperCluster>            "reducedEgamma"             "reducedOOTSuperClusters"   "PAT"     
vector<reco::SuperCluster>            "reducedEgamma"             "reducedSuperClusters"   "PAT"     
vector<reco::TrackExtra>              "slimmedDisplacedMuonTrackExtras"   ""                "PAT"     
vector<reco::TrackExtra>              "slimmedMuonTrackExtras"    ""                "PAT"     
vector<reco::Vertex>                  "offlineSlimmedPrimaryVertices"   ""                "PAT"     
vector<reco::Vertex>                  "offlineSlimmedPrimaryVerticesWithBS"   ""                "PAT"     
vector<reco::VertexCompositePtrCandidate>    "slimmedKshortVertices"     ""                "PAT"     
vector<reco::VertexCompositePtrCandidate>    "slimmedLambdaVertices"     ""                "PAT"     
vector<reco::VertexCompositePtrCandidate>    "slimmedSecondaryVertices"   ""                "PAT"     
vector<string>                        "slimmedPatTrigger"         "filterLabels"    "PAT"     
unsigned int                          "bunchSpacingProducer"      ""                "PAT"     
